Title,Note,URL,Comment
Conor Pass,,https://www.google.com/maps/place/Conor+Pass/data=!4m2!3m1!1s0x4845531388b9f5c7:0xd09bdb6186e5727,
Gallarus Oratory,,https://www.google.com/maps/place/Gallarus+Oratory/data=!4m2!3m1!1s0x484ffd88e0c35357:0x320486b416b32d77,
Brandon Peak,,https://www.google.com/maps/place/Brandon+Peak/data=!4m2!3m1!1s0x484ffe58a360f787:0x78f403f2715f084c,
Ballybunion Castle,,https://www.google.com/maps/place/Ballybunion+Castle/data=!4m2!3m1!1s0x485ac5d737a9fc6f:0xdd89380a57fa32f3,
Cliffs of Moher,,https://www.google.com/maps/place/Cliffs+of+Moher/data=!4m2!3m1!1s0x485b01af0bb881f3:0x283a469048b8c0e6,
The Burren Smokehouse,,https://www.google.com/maps/place/The+Burren+Smokehouse/data=!4m2!3m1!1s0x485ba802988cff59:0xd50034c8c4039189,
Poulnabrone Dolmen,,https://www.google.com/maps/place/Poulnabrone+Dolmen/data=!4m2!3m1!1s0x485ba0a29ebc56d7:0x894418a6a6999106,
Burren National Park,,https://www.google.com/maps/place/Burren+National+Park/data=!4m2!3m1!1s0x485b751955555555:0x36ab0a8cb452f2a8,
Galway Cathedral,,https://www.google.com/maps/place/Galway+Cathedral/data=!4m2!3m1!1s0x485b96f08ab1b2e1:0xd1d28cae4a94419b,
Connemara National Park,,https://www.google.com/maps/place/Connemara+National+Park/data=!4m2!3m1!1s0x485a2588a1ca30a5:0xf6d1d848f4aa37c9,
Kylemore Abbey & Victorian Walled Garden,,https://www.google.com/maps/place/Kylemore+Abbey+%26+Victorian+Walled+Garden/data=!4m2!3m1!1s0x485a2f1ea74d0ee9:0xf1a4b32a275c31a9,
